0.25,65.9
0.255,71.4
0.26,69.2
0.265,72.1
0.27,70.0
0.275,70.2
0.28,70.8
0.285,71.4
0.29,69.7
0.295,71.6
0.3,69.8
0.305,69.1
0.31,68.3
0.315,69.6
0.32,69.5
0.325,69.4
0.33,69.4
0.335,70.0
0.34,69.9
0.345,72.3
0.35,70.8
0.355,69.5
0.36,68.7
0.365,69.9
0.37,69.6
0.375,70.0
0.38,69.4
0.385,70.6
0.39,71.2
0.395,69.8
0.4,68.8
0.405,68.7
0.41,68.8
0.415,68.5
0.42,68.7
0.425,68.5
0.43,68.7
0.435,68.2
0.44,68.4
0.445,68.5
0.45,68.8
0.455,68.2
0.46,68.5
0.465,68.6
0.47,68.1
0.475,68.4
0.48,68.6
0.485,69.0
0.49,68.3
0.495,68.2
